year,time_aggregation_value,census_tract,totalrequests
2016.0,2.0,006700,98.0
2016.0,2.0,006801,67.0
2016.0,2.0,006802,75.0
2016.0,2.0,006804,21.0
2016.0,2.0,006900,125.0
2016.0,2.0,007000,97.0
2016.0,2.0,007100,91.0
2016.0,2.0,007200,127.0
2016.0,2.0,007301,15.0
2016.0,2.0,007304,44.0
2016.0,2.0,007401,47.0
2016.0,2.0,007403,30.0
2016.0,2.0,007404,62.0
2016.0,2.0,007406,16.0
2016.0,2.0,007407,108.0
2016.0,2.0,007408,28.0
2016.0,2.0,007409,58.0
2016.0,2.0,007502,64.0
2016.0,2.0,007503,79.0
2016.0,2.0,007504,58.0
2016.0,2.0,007601,185.0
2016.0,2.0,007603,116.0
2016.0,2.0,007604,143.0
2016.0,2.0,007605,53.0
2016.0,2.0,007703,87.0
2016.0,2.0,007707,130.0
2016.0,2.0,007708,62.0
2016.0,2.0,007709,58.0
2016.0,2.0,007803,141.0
2016.0,2.0,007804,89.0
2016.0,2.0,007806,57.0
2016.0,2.0,007807,79.0
2016.0,2.0,007808,140.0
2016.0,2.0,007809,105.0
2016.0,2.0,007901,143.0
2016.0,2.0,007903,89.0
2016.0,2.0,008001,118.0
2016.0,2.0,008002,134.0
2016.0,2.0,008100,80.0
2016.0,2.0,008200,132.0
2016.0,2.0,008301,645.0
2016.0,2.0,008302,275.0
2016.0,2.0,008402,91.0
2016.0,2.0,008410,175.0
2016.0,2.0,008701,113.0
2016.0,2.0,008702,88.0
2016.0,2.0,008802,170.0
2016.0,2.0,008803,40.0
2016.0,2.0,008804,104.0
2016.0,2.0,008903,98.0
2016.0,2.0,008904,55.0
2016.0,2.0,009000,50.0
2016.0,2.0,009102,123.0
2016.0,2.0,009201,43.0
2016.0,2.0,009203,95.0
2016.0,2.0,009204,25.0
2016.0,2.0,009301,136.0
2016.0,2.0,009302,73.0
2016.0,2.0,009400,176.0
2016.0,2.0,009501,100.0
2016.0,2.0,009503,130.0
2016.0,2.0,009504,120.0
2016.0,2.0,009505,154.0
2016.0,2.0,009507,71.0
2016.0,2.0,009508,72.0
2016.0,2.0,009509,120.0
2016.0,2.0,009601,87.0
2016.0,2.0,009602,84.0
2016.0,2.0,009603,99.0
2016.0,2.0,009604,87.0
2016.0,2.0,009700,72.0
2016.0,2.0,009801,24.0
2016.0,2.0,009802,26.0
2016.0,2.0,009803,59.0
2016.0,2.0,009804,46.0
2016.0,2.0,009807,99.0
2016.0,2.0,009810,44.0
2016.0,2.0,009811,53.0
2016.0,2.0,009901,96.0
2016.0,2.0,009902,126.0
2016.0,2.0,009903,84.0
2016.0,2.0,009904,121.0
2016.0,2.0,009905,85.0
2016.0,2.0,009906,46.0
2016.0,2.0,009907,42.0
2016.0,2.0,010100,311.0
2016.0,2.0,010200,236.0
2016.0,2.0,010300,122.0
2016.0,2.0,010400,172.0
2016.0,2.0,010500,134.0
2016.0,2.0,010600,381.0
2016.0,2.0,010700,477.0
2016.0,2.0,010800,308.0
2016.0,2.0,010900,32.0
2016.0,2.0,011000,25.0
2016.0,2.0,011100,258.0
2016.0,3.0,000100,310.0
2016.0,3.0,000201,17.0
2016.0,3.0,000202,221.0
2016.0,3.0,000300,174.0
2016.0,3.0,000400,64.0
2016.0,3.0,000501,58.0
2016.0,3.0,000502,82.0
2016.0,3.0,000600,140.0
2016.0,3.0,000701,70.0
2016.0,3.0,000702,29.0
2016.0,3.0,000801,140.0
2016.0,3.0,000802,103.0
2016.0,3.0,000901,118.0
2016.0,3.0,000902,76.0
2016.0,3.0,001001,336.0
2016.0,3.0,001002,80.0
2016.0,3.0,001100,267.0
2016.0,3.0,001200,116.0
2016.0,3.0,001301,59.0
2016.0,3.0,001302,95.0
2016.0,3.0,001401,136.0
2016.0,3.0,001402,95.0
2016.0,3.0,001500,161.0
2016.0,3.0,001600,247.0
2016.0,3.0,001702,218.0
2016.0,3.0,001803,75.0
2016.0,3.0,001804,114.0
2016.0,3.0,001901,185.0
2016.0,3.0,001902,91.0
2016.0,3.0,002001,77.0
2016.0,3.0,002002,164.0
2016.0,3.0,002101,168.0
2016.0,3.0,002102,197.0
2016.0,3.0,002201,163.0
2016.0,3.0,002202,110.0
2016.0,3.0,002301,142.0
2016.0,3.0,002302,22.0
2016.0,3.0,002400,194.0
2016.0,3.0,002501,132.0
2016.0,3.0,002502,220.0
2016.0,3.0,002600,96.0
2016.0,3.0,002701,115.0
2016.0,3.0,002702,179.0
2016.0,3.0,002801,72.0
2016.0,3.0,002802,179.0
2016.0,3.0,002900,189.0
2016.0,3.0,003000,99.0
2016.0,3.0,003100,138.0
2016.0,3.0,003200,228.0
2016.0,3.0,003301,147.0
2016.0,3.0,003302,119.0
2016.0,3.0,003400,190.0
2016.0,3.0,003500,134.0
2016.0,3.0,003600,109.0
2016.0,3.0,003700,108.0
2016.0,3.0,003800,127.0
2016.0,3.0,003900,114.0
2016.0,3.0,004001,85.0
2016.0,3.0,004002,92.0
2016.0,3.0,004100,74.0
2016.0,3.0,004201,95.0
2016.0,3.0,004202,110.0
2016.0,3.0,004300,183.0
2016.0,3.0,004400,349.0
2016.0,3.0,004600,234.0
2016.0,3.0,004701,65.0
2016.0,3.0,004702,67.0
2016.0,3.0,004801,178.0
2016.0,3.0,004802,84.0
2016.0,3.0,004901,147.0
2016.0,3.0,004902,120.0
2016.0,3.0,005001,87.0
2016.0,3.0,005002,109.0
2016.0,3.0,005201,173.0
2016.0,3.0,005301,113.0
2016.0,3.0,005500,324.0
2016.0,3.0,005600,166.0
2016.0,3.0,005800,486.0
2016.0,3.0,005900,145.0
2016.0,3.0,006202,221.0
2016.0,3.0,006400,51.0
2016.0,3.0,006500,136.0
2016.0,3.0,006600,98.0
2016.0,3.0,006700,163.0
2016.0,3.0,006801,73.0
2016.0,3.0,006802,103.0
2016.0,3.0,006804,8.0
2016.0,3.0,006900,114.0
2016.0,3.0,007000,148.0
2016.0,3.0,007100,98.0
2016.0,3.0,007200,136.0
2016.0,3.0,007301,8.0
2016.0,3.0,007304,75.0
2016.0,3.0,007401,63.0
2016.0,3.0,007403,22.0
2016.0,3.0,007404,82.0
2016.0,3.0,007406,22.0
2016.0,3.0,007407,114.0
2016.0,3.0,007408,37.0
2016.0,3.0,007409,46.0
2016.0,3.0,007502,68.0
2016.0,3.0,007503,116.0
2016.0,3.0,007504,90.0
2016.0,3.0,007601,223.0
2016.0,3.0,007603,156.0
2016.0,3.0,007604,170.0
2016.0,3.0,007605,59.0
2016.0,3.0,007703,104.0
2016.0,3.0,007707,153.0
2016.0,3.0,007708,68.0
2016.0,3.0,007709,62.0
2016.0,3.0,007803,148.0
2016.0,3.0,007804,98.0
2016.0,3.0,007806,79.0
2016.0,3.0,007807,77.0
2016.0,3.0,007808,158.0
2016.0,3.0,007809,140.0
2016.0,3.0,007901,188.0
2016.0,3.0,007903,131.0
